date,dept,gl_account,amount
2024-01-01,Sales,4000-Revenue,41000
2024-02-01,Sales,4000-Revenue,42500
2024-03-01,Sales,4000-Revenue,44000
2024-04-01,Sales,4000-Revenue,45500
2024-05-01,Sales,4000-Revenue,47000
2024-06-01,Sales,4000-Revenue,48500
2024-07-01,Sales,4000-Revenue,50000
2024-08-01,Sales,4000-Revenue,51500
2024-09-01,Sales,4000-Revenue,53000
2024-10-01,Sales,4000-Revenue,54500
2024-11-01,Sales,4000-Revenue,56000
2024-12-01,Sales,4000-Revenue,57500
2025-01-01,Sales,4000-Revenue,41000
2025-02-01,Sales,4000-Revenue,42500
2025-03-01,Sales,4000-Revenue,44000
2025-04-01,Sales,4000-Revenue,45500
2025-05-01,Sales,4000-Revenue,47000
2025-06-01,Sales,4000-Revenue,48500
2025-07-01,Sales,4000-Revenue,50000
2025-08-01,Sales,4000-Revenue,51500
2025-09-01,Sales,4000-Revenue,53000
2025-10-01,Sales,4000-Revenue,54500
2025-11-01,Sales,4000-Revenue,56000
2025-12-01,Sales,4000-Revenue,57500
2026-01-01,Sales,4000-Revenue,41000
2026-02-01,Sales,4000-Revenue,42500
2026-03-01,Sales,4000-Revenue,44000
2026-04-01,Sales,4000-Revenue,45500
2026-05-01,Sales,4000-Revenue,47000
2026-06-01,Sales,4000-Revenue,48500
2026-07-01,Sales,4000-Revenue,50000
2026-08-01,Sales,4000-Revenue,51500
2026-09-01,Sales,4000-Revenue,53000
2026-10-01,Sales,4000-Revenue,54500
2026-11-01,Sales,4000-Revenue,56000
2026-12-01,Sales,4000-Revenue,57500
2027-01-01,Sales,4000-Revenue,41000
2027-02-01,Sales,4000-Revenue,42500
2027-03-01,Sales,4000-Revenue,44000
2027-04-01,Sales,4000-Revenue,45500
2027-05-01,Operations,4000-Revenue,47000
2027-06-01,Operations,4000-Revenue,48500
2027-07-01,Operations,4000-Revenue,50000
2027-08-01,Operations,4000-Revenue,51500
2027-09-01,Operations,4000-Revenue,53000
2027-10-01,Operations,4000-Revenue,54500
2027-11-01,Operations,4000-Revenue,56000
2027-12-01,Operations,4000-Revenue,57500
2028-01-01,Operations,4000-Revenue,41000
2028-02-01,Operations,4000-Revenue,42500
2028-03-01,Operations,4000-Revenue,44000
2028-04-01,Operations,4000-Revenue,45500
2028-05-01,Operations,4000-Revenue,47000
2028-06-01,Operations,4000-Revenue,48500
2028-07-01,Operations,4000-Revenue,50000
2028-08-01,Operations,4000-Revenue,51500
2028-09-01,Operations,4000-Revenue,53000
2028-10-01,Operations,4000-Revenue,54500
2028-11-01,Operations,4000-Revenue,56000
2028-12-01,Operations,4000-Revenue,57500
2029-01-01,Operations,5000-COGS,41000
2029-02-01,Operations,5000-COGS,42500
2029-03-01,Operations,5000-COGS,44000
2029-04-01,Operations,5000-COGS,45500
2029-05-01,Operations,5000-COGS,47000
2029-06-01,Operations,5000-COGS,48500
2029-07-01,Operations,5000-COGS,50000
2029-08-01,Operations,5000-COGS,51500
2029-09-01,Operations,5000-COGS,53000
2029-10-01,Operations,5000-COGS,54500
2029-11-01,Operations,5000-COGS,56000
2029-12-01,Operations,5000-COGS,57500
2030-01-01,Operations,5000-COGS,41000
2030-02-01,Operations,5000-COGS,42500
2030-03-01,Operations,5000-COGS,44000
2030-04-01,Operations,5000-COGS,45500
2030-05-01,Operations,5000-COGS,47000
2030-06-01,Operations,5000-COGS,48500
2030-07-01,Operations,5000-COGS,50000
2030-08-01,Operations,5000-COGS,51500
2030-09-01,R&D,5000-COGS,53000
2030-10-01,R&D,5000-COGS,54500
2030-11-01,R&D,5000-COGS,56000
2030-12-01,R&D,5000-COGS,57500
2031-01-01,R&D,5000-COGS,41000
2031-02-01,R&D,5000-COGS,42500
2031-03-01,R&D,5000-COGS,44000
2031-04-01,R&D,5000-COGS,45500
2031-05-01,R&D,5000-COGS,47000
2031-06-01,R&D,5000-COGS,48500
2031-07-01,R&D,5000-COGS,50000
2031-08-01,R&D,5000-COGS,51500
2031-09-01,R&D,5000-COGS,53000
2031-10-01,R&D,5000-COGS,54500
2031-11-01,R&D,5000-COGS,56000
2031-12-01,R&D,5000-COGS,57500
2032-01-01,R&D,5000-COGS,41000
2032-02-01,R&D,5000-COGS,42500
2032-03-01,R&D,5000-COGS,44000
2032-04-01,R&D,5000-COGS,45500
2032-05-01,R&D,5000-COGS,47000
2032-06-01,R&D,5000-COGS,48500
2032-07-01,R&D,5000-COGS,50000
2032-08-01,R&D,5000-COGS,51500
2032-09-01,R&D,5000-COGS,53000
2032-10-01,R&D,5000-COGS,54500
2032-11-01,R&D,5000-COGS,56000
2032-12-01,R&D,5000-COGS,57500
2033-01-01,R&D,5000-COGS,41000
2033-02-01,R&D,5000-COGS,42500
2033-03-01,R&D,5000-COGS,44000
2033-04-01,R&D,5000-COGS,45500
2033-05-01,R&D,5000-COGS,47000
2033-06-01,R&D,5000-COGS,48500
2033-07-01,R&D,5000-COGS,50000
2033-08-01,R&D,5000-COGS,51500
2033-09-01,R&D,5000-COGS,53000
2033-10-01,R&D,5000-COGS,54500
2033-11-01,R&D,5000-COGS,56000
2033-12-01,R&D,5000-COGS,57500
